method,avg_lead_quarters,median_lead_quarters,n_detected,n_total,detection_rate
Best supervised,23.17595818815331,16.0,574,574,1.0
Ensemble,22.55045871559633,18.0,545,574,0.9494773519163763
MCA+K-Modes,25.203603603603604,21.0,555,574,0.9668989547038328
Isolation Forest,24.81135531135531,21.0,546,574,0.9512195121951219
Autoencoder,26.84476534296029,24.0,554,574,0.9651567944250871
