fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0013513513513513514,0.9997879177743181
0.0,0.031081081081081083,0.9995401836594454
7.083532557686518e-06,0.031081081081081083,0.9995203748201044
7.083532557686518e-06,0.051351351351351354,0.9994117820667638
1.0625298836529777e-05,0.051351351351351354,0.999411594764324
1.0625298836529777e-05,0.052702702702702706,0.9994088909502495
1.4167065115373036e-05,0.052702702702702706,0.999403246240899
1.4167065115373036e-05,0.08783783783783784,0.9992933422811582
2.1250597673059554e-05,0.08783783783783784,0.9992802059225467
2.1250597673059554e-05,0.10540540540540541,0.9992042745667349
2.8334130230746072e-05,0.10540540540540541,0.9991875426793967
2.8334130230746072e-05,0.11756756756756757,0.9991413245765958
3.187589650958933e-05,0.11756756756756757,0.9991220273021901
3.187589650958933e-05,0.12297297297297298,0.9991154292595888
3.8959429067275854e-05,0.12297297297297298,0.9991055891170553
3.8959429067275854e-05,0.12702702702702703,0.9990808859043772
4.250119534611911e-05,0.12702702702702703,0.9990766267188403
4.250119534611911e-05,0.1445945945945946,0.999010521340836
4.604296162496237e-05,0.1445945945945946,0.999006876317091
4.604296162496237e-05,0.1527027027027027,0.9989698735623542
4.958472790380563e-05,0.1527027027027027,0.9989657864989614
4.958472790380563e-05,0.16891891891891891,0.9989228134634229
5.312649418264889e-05,0.16891891891891891,0.9989117519950121
5.312649418264889e-05,0.1783783783783784,0.9988904422488101
5.6668260461492144e-05,0.1783783783783784,0.9988805386284534
5.6668260461492144e-05,0.1837837837837838,0.9988641813902297
6.0210026740335404e-05,0.1837837837837838,0.9988623770966817
6.0210026740335404e-05,0.1918918918918919,0.9988466839625284
6.375179301917866e-05,0.1918918918918919,0.9988454305494919
6.375179301917866e-05,0.2,0.9987969148025366
6.729355929802193e-05,0.2,0.9987945746948764
6.729355929802193e-05,0.20270270270270271,0.9987902042716862
7.083532557686519e-05,0.20270270270270271,0.998786087471988
7.083532557686519e-05,0.20810810810810812,0.9987727269541365
7.791885813455171e-05,0.20810810810810812,0.9987672438107529
7.791885813455171e-05,0.21756756756756757,0.998699207462927
8.146062441339495e-05,0.21756756756756757,0.9986900483325476
8.146062441339495e-05,0.22162162162162163,0.9986767691612084
8.854415697108148e-05,0.22162162162162163,0.998675280914845
8.854415697108148e-05,0.22972972972972974,0.9986148608737718
9.208592324992474e-05,0.22972972972972974,0.9986110596801384
9.208592324992474e-05,0.23378378378378378,0.9985991346116266
9.5627689528768e-05,0.23378378378378378,0.9985858075378298
9.5627689528768e-05,0.24594594594594596,0.9985370369066697
9.916945580761126e-05,0.24594594594594596,0.9985348363934407
9.916945580761126e-05,0.2472972972972973,0.9985226142499015
0.00010271122208645452,0.2472972972972973,0.9985195984498034
0.00010271122208645452,0.24864864864864866,0.9985069023050315
0.00010979475464414103,0.24864864864864866,0.9985033215175333
0.00010979475464414103,0.2527027027027027,0.9984827199019262
0.00011333652092298429,0.2527027027027027,0.9984554362273149
0.00011333652092298429,0.2716216216216216,0.9983324958197825
0.00011687828720182755,0.2716216216216216,0.998305279541531
0.00011687828720182755,0.27297297297297296,0.9983015503124472
0.00012042005348067081,0.27297297297297296,0.998296334403716
0.00012042005348067081,0.2851351351351351,0.9982118531100274
0.00013104535231720058,0.2851351351351351,0.9981885515217068
0.00013104535231720058,0.3,0.9981151136351314
0.00014167065115373037,0.3,0.9980980353872447
0.00014167065115373037,0.3013513513513513,0.9980857711063367
0.00014521241743257362,0.3013513513513513,0.9980696821766569
0.00014521241743257362,0.30675675675675673,0.9980496729351299
0.00015229594999026014,0.30675675675675673,0.9980342046750774
0.00015229594999026014,0.3081081081081081,0.9980143608031348
0.0001629212488267899,0.3081081081081081,0.9979889680357311
0.0001629212488267899,0.31216216216216214,0.9979338767530459
0.00016646301510563318,0.31216216216216214,0.9979291449870282
0.00016646301510563318,0.31486486486486487,0.9979083150786998
0.00017000478138447643,0.31486486486486487,0.9979024362925764
0.00017000478138447643,0.31891891891891894,0.9978958449212846
0.00017708831394216295,0.31891891891891894,0.997882254550871
0.00017708831394216295,0.3216216216216216,0.9978731062725615
0.00018417184649984947,0.3216216216216216,0.9978653990909344
0.00018417184649984947,0.32297297297297295,0.9978515448401383
0.00018771361277869275,0.32297297297297295,0.9978490973727542
0.00018771361277869275,0.32432432432432434,0.9978329621103096
