,count,mean,std,min,25%,50%,75%,max
tier1_rwa,943615.0,0.20019860683917193,0.22111837644103358,0.0,0.12444410715953308,0.15340783533794236,0.20397547276891356,2.5074601924136233
leverage_ratio,941164.0,0.11601132360550831,0.08603428599741803,0.025602893868727713,0.0826366945401162,0.09692041902835749,0.1191280783779353,0.850201130800424
tangible_eq_assets,941164.0,0.11521032792571242,0.08713828272796004,0.00563404853160536,0.08137367643668414,0.09617651754188265,0.11893798396047024,0.8527634977093013
total_capital_rwa,943615.0,0.21371021083248848,0.19455448822361238,0.0,0.1368885178754864,0.16874861887173662,0.22437302004580495,1.5
equity_to_assets,941164.0,0.12068030248805897,0.0940236705670931,0.006479207185695559,0.0849297627587322,0.10061164715363097,0.12403404418868519,0.8698616270866377
tier1_lev_gap,941164.0,0.08513341426867063,0.15390806212616648,-0.3054507208085145,0.03891502726797737,0.057575413596829876,0.09032113379138994,1.8133982601986547
npl_total_loans,928514.0,0.0025724372283343604,0.005506694226254829,0.0,0.0,0.00019891648659640972,0.0024203397478409685,0.044527521269135215
past_due_30_89,689976.0,0.011279933528500942,0.012961636495315572,0.0,0.0022146804189095105,0.006896112768505547,0.01564170047935467,0.08934114702902511
past_due_90plus,928514.0,0.0025724372283343604,0.005506694226254829,0.0,0.0,0.00019891648659640972,0.0024203397478409685,0.044527521269135215
nonaccrual_ratio,928514.0,0.0025724372283343604,0.005506694226254829,0.0,0.0,0.00019891648659640972,0.0024203397478409685,0.044527521269135215
oreo_assets,941163.0,0.0025694985007220965,0.00684820624486583,0.0,0.0,0.00011604158930560713,0.0020257291152656186,0.09052901676557139
coverage_ratio,558002.0,91.26684896822887,382.00727647676786,0.14597379112789802,2.506796982379195,7.800936896612252,32.57142857142857,9398.920000000002
nco_avg_loans,914526.0,0.02667451316301154,0.04725394859670434,0.0,0.0031358148981896197,0.011352768557270288,0.03003068092038474,0.7764681953764563
provision_avg_loans,912138.0,0.003625685900622476,0.0073549370711316255,-0.010002424008627867,6.902251329177412e-05,0.0015894215169874222,0.003840573623795733,0.10644676249159675
roa,926450.0,0.00937230031761204,0.011391725654101632,-0.10181489150112126,0.005740102196660501,0.009710759920621035,0.013652848730523824,0.10666352715119264
roe,926450.0,0.08896231211514365,0.10463717032946707,-1.468254899158113,0.05269093190512622,0.09304536029320348,0.13558308826856777,0.686237575819661
