model,roc_auc,avg_precision
Logistic Regression,0.980830960589235,0.5200419276770263
Random Forest,0.989726269328352,0.4977616221640115
XGBoost,0.995882950367889,0.6386989264822933
LightGBM,0.9959684600926698,0.6260489025216711
